Mp_code,Mp_name,SUM_Tot_Po,SHAPE_Leng,SHAPE_Area,MP_Class
290323,KwaNdovelana,0,0.0328860195311,0.000063952812,NIP
290324,KuGwexindaba,469,0.0556666075551,0.0001559944015,NIP
290325,Ludaka,150,0.0487804850206,0.000119878621,NIP
290326,Nkunzimbini B,130,0.0711622034645,0.000107357566,NIP
290327,Wema,68,0.0375216465429,0.0000447244955,NIP
290328,Mfundeni,397,0.0527281623023,0.0001142429865,NIP
290329,Mbotyi,329,0.183719026547,0.000322012255,NIP
290330,Goso,42,0.111620627171,0.0002445418585,NIP
290331,Mpenkulu,720,0.196116606413,0.0003899244475,NIP
291001,Mthinde,2611,0.168376323424,0.0005281571245,NIP
291002,Port St Johns NU,1058,16.8841650641,0.0801779472938,NIP
291003,Mboziseni,2094,0.0827704582692,0.000262802647,NIP
291004,Kwamlaza,1669,0.0939837468886,0.0002964885765,NIP
291005,Kwaphephu,653,0.114100124116,0.000209499753,NIP
291006,Esijungqwini,848,0.0881294420483,0.0002825799765,NIP
291007,Mbambeni,146,0.0935589345049,0.000173723598,NIP
291008,Emamfengwini,1454,0.0951798642203,0.000149438157,NIP
291009,Sunrise,1048,0.0660619322519,0.000111009823,NIP
291010,Bhakaleni,848,0.0699140203402,0.00010322175,NIP
291011,Kwandayini,775,0.0681862999426,0.0001415210895,NIP
291012,Kwagqweza,163,0.185439724992,0.00046593465,NIP
291013,Luzupho,1539,0.0871465409134,0.000175142384,NIP
291014,Jambeni,3538,0.232162357516,0.000405423948,NIP
291015,Nyosana,230,0.0473313297931,0.000049207381,NIP
291016,Dlelengana,393,0.0738986325522,0.0001562507835,NIP
291017,Selekhulu,471,0.0444960319174,0.0000936251304999,NIP
291018,Lubende,399,0.0538811754711,0.0001324656945,NIP
291019,Bukuqweni Farma,160,0.0903249472723,0.0002742371735,NIP
291020,Ntlenga,790,0.0822081237087,0.000208771516,NIP
291021,Mkhumbeni,1435,0.129382685213,0.0003116062405,NIP
291022,Mbokazi,2620,0.257395248302,0.0007524800335,NIP
291023,Mkhuzaza,362,0.148091437169,0.0008082604595,NIP
291024,KwaCibadi,207,0.0574356461908,0.0000955500189998,NIP
291025,Jambeni A,1259,0.0964462127749,0.0001775481945,NIP
291026,Esihlitho,1462,0.099019024488,0.000196737629,NIP
291027,Mcwabansasa,1689,0.0650599915408,0.0001445387545,NIP
291028,Mzintlava,883,0.0788377535233,0.0001829260295,NIP
291029,Kwajola,1578,0.140591839794,0.0003018875505,NIP
291030,China,695,0.0536616571241,0.0001005044325,NIP
291031,Emabheleni,372,0.0548343206852,0.0000743165070001,NIP
291032,Emazizini,1051,0.124867634015,0.000215654126,NIP
291033,Ngcoya,3124,0.540650679284,0.0015992643965,NIP
291034,Bhuje,472,0.0999503417804,0.000202855974,NIP
291035,Dwera,176,0.0472213978635,0.0000848841045,NIP
291036,Mnqezu,1023,0.101675991049,0.0002308125855,NIP
291037,Maxuxubeni,91,0.0442669605251,0.0000559161555,NIP
